,Vibration RMS Radial,Vibration Accel. P2P Radial,Motor Speed,Output Power
count,1416.0,1416.0,1416.0,1416.0
mean,0.9621875,1.8360858050847457,1117.9838983050847,169.14485169491525
std,0.7224706973009221,1.019931820874418,588.4026049701048,98.23703223484586
min,0.04,0.04,0.0,0.0
1%,0.05,0.04,0.0,0.0
5%,0.06,0.04,0.0,0.0
25%,0.45,1.62,1116.2,119.35499999999999
50%,0.8,2.08,1386.1,206.70499999999998
75%,1.36,2.58,1530.0,238.5525
95%,2.3725,3.111875,1584.4250000000002,277.06
99%,2.9592499999999995,3.318499999999999,1673.7,304.59899999999993
max,3.77,3.43,1799.9,675.0
